trajectory_id,lat,lon,s,b,h,x,y
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.470424,161.500396,612.78,435.51,177.28,503503.44985213224,-1504847.7538263432
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.470223,161.500516,612.67,432.04,180.63,503507.33568774874,-1504869.842104674
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.469613,161.50088,612.25,432.49,179.76,503519.1326921537,-1504936.8748046285
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.469411,161.501001,612.18,431.11,181.07,503523.0269211816,-1504959.0766458705
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.469003,161.501246,612.65,428.98,183.67,503530.87635847303,-1505003.9253750222
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.468801,161.501366,612.62,430.61,182.01,503534.7965877571,-1505026.1185254774
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.468398,161.501608,612.54,429.54,183.0,503542.5492353581,-1505070.4178532027
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.467179,161.502343,611.69,419.97,191.72,503565.91872040427,-1505204.4421816291
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.466977,161.502465,611.38,413.7,197.67,503569.78561026556,-1505226.653201244
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.466776,161.502587,611.36,415.73,195.62,503573.61740154633,-1505248.7596057206
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.46656800000001,161.502713,611.65,407.59,204.06,503577.58908007597,-1505271.6337325254
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.466367,161.502835,611.72,403.89,207.83,503581.4206906896,-1505293.740202475
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.466166,161.502957,611.86,402.57,209.29,503585.25221247005,-1505315.8467046118
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.465959,161.503083,612.26,401.28,210.97,503589.18860391853,-1505338.6162843772
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.465758,161.503206,612.5,410.68,201.82,503592.99367173895,-1505360.7316412241
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.465556,161.503328,613.2,413.17,200.03,503596.85993190866,-1505382.942889254
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.465355,161.503451,613.27,417.33,195.94,503600.66482069244,-1505405.0583107902
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.465147,161.503577,612.9,425.62,187.28,503604.63584940054,-1505427.932673041
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.464946,161.5037,612.34,419.89,192.45,503608.44055634586,-1505450.0481602526
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.464745,161.503822,611.97,418.31,193.66,503612.2714491301,-1505472.1548900902
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.464543,161.503945,611.8,428.71,183.1,503616.1109842664,-1505494.3750907609
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.464336,161.504072,611.08,432.23,178.85,503620.02035849605,-1505517.15372838
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.464135,161.50419499999998,610.52,438.37,172.15,503623.8247043895,-1505539.2693459007
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.463732,161.504441,603.97,432.77,171.2,503631.46813352493,-1505583.6053272695
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.463525,161.504568,597.41,423.57,173.83,503635.377135014,-1505606.3840992404
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.463323,161.504692,611.45,438.6,172.85,503639.1898470365,-1505628.613286919
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.46292,161.50493899999998,615.13,446.86,168.27,503646.80627230246,-1505672.958320185
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.462713,161.505066,618.33,450.47,167.86,503650.7149000374,-1505695.7372267682
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.46251099999999,161.505189,611.46,444.41,167.05,503654.5535269638,-1505717.957755393
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.46231,161.505313,604.03,446.86,157.17,503658.33077905275,-1505740.0824568402
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.4617,161.50568700000002,604.49,448.9,155.58,503669.85445881914,-1505807.206891416
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.46149799999999,161.50581100000002,624.22,460.83,163.39,503673.66635097185,-1505829.436374347
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.461297,161.50593500000002,618.2,472.32,145.88,503677.4431486945,-1505851.5612391303
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.461089,161.506062,611.98,467.76,144.22,503681.386032545,-1505874.445065763
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.460888,161.506186,592.42,466.1,126.31,503685.16264686745,-1505896.5699964843
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.460686,161.50631,626.59,480.01,146.58,503688.97417379706,-1505918.7996108546
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.460479,161.506438,629.5,482.88,146.62,503692.85548924824,-1505941.587678928
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.460277,161.506562,629.9,478.3,151.6,503696.6668319621,-1505963.8173595453
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.459874,161.50681,630.36,487.39,142.96,503704.25424284115,-1506008.1721671533
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.45966700000001,161.50693700000002,631.07,497.74,133.34,503708.161467376,-1506030.9515788676
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.459062,161.50730900000002,632.63,515.71,116.92,503719.5591261402,-1506097.5364609072
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.458451,161.507685,631.47,518.51,112.96,503731.0608226975,-1506164.78471871
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.457638,161.508185,608.75,520.61,88.14,503746.37184152193,-1506254.263383792
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.457436,161.508309,634.87,529.12,105.76,503750.1819059546,-1506276.4935243318
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.456012,161.509184,638.96,530.97,107.99,503777.01574989944,-1506433.213511281
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.455401,161.50956000000002,643.94,531.79,112.14,503788.51329065225,-1506500.4632633473
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.454588,161.510058,646.4,530.0,116.4,503803.8713714331,-1506589.9263302921
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.45357299999999,161.510679,647.52,516.3,131.22,503823.0626095197,-1506701.611898294
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.45336400000001,161.510807,647.45,515.45,132.0,503827.010625192,-1506724.610459344
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.453162,161.51093,647.99,516.41,131.58,503830.8450666373,-1506746.8324978165
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.452961,161.511054,647.73,523.67,124.06,503834.6181250685,-1506768.9587065824
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.452758,161.511177,647.18,525.59,121.59,503838.48738096294,-1506791.2854660512
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.45255,161.511304,648.39,519.38,129.01,503842.4263233448,-1506814.1707135118
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.452146,161.511551,650.69,529.53,121.16,503850.06808991096,-1506858.6238793563
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.451945,161.511674,648.77,527.2,121.57,503853.8669937357,-1506880.7414578102
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.451736,161.5118,646.83,528.96,117.88,503857.8668557357,-1506903.7227029726
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.451534,161.511923,647.08,544.26,102.82,503861.7005709197,-1506925.945003883
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.451124,161.512171,645.05,542.67,102.37,503869.52508598845,-1506971.035233248
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.45092199999999,161.512293,645.73,541.11,104.62,503873.38483103534,-1506993.248838409
